url,firmname
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(杭州中恒电气股份有限公司)&type=14&s=0&law=2&v=l&page=,杭州中恒电气股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(四川丹甫制冷压缩机股份有限公司)&type=14&s=0&law=2&v=l&page=,四川丹甫制冷压缩机股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(康力电梯股份有限公司)&type=14&s=0&law=2&v=l&page=,康力电梯股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(浙江亚太药业股份有限公司)&type=14&s=0&law=2&v=l&page=,浙江亚太药业股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(北京七星华创电子股份有限公司)&type=14&s=0&law=2&v=l&page=,北京七星华创电子股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(山东丽鹏股份有限公司)&type=14&s=0&law=2&v=l&page=,山东丽鹏股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(浙江亚厦装饰股份有限公司)&type=14&s=0&law=2&v=l&page=,浙江亚厦装饰股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(山东新北洋信息技术股份有限公司)&type=14&s=0&law=2&v=l&page=,山东新北洋信息技术股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(湖北国创高新材料股份有限公司)&type=14&s=0&law=2&v=l&page=,湖北国创高新材料股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(崇义章源钨业股份有限公司)&type=14&s=0&law=2&v=l&page=,崇义章源钨业股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(南京科远自动化集团股份有限公司)&type=14&s=0&law=2&v=l&page=,南京科远自动化集团股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(山东蓝帆塑胶股份有限公司)&type=14&s=0&law=2&v=l&page=,山东蓝帆塑胶股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(苏州东山精密制造股份有限公司)&type=14&s=0&law=2&v=l&page=,苏州东山精密制造股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(宜宾天原集团股份有限公司)&type=14&s=0&law=2&v=l&page=,宜宾天原集团股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(黑牛食品股份有限公司)&type=14&s=0&law=2&v=l&page=,黑牛食品股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(深圳市新亚电子制程股份有限公司)&type=14&s=0&law=2&v=l&page=,深圳市新亚电子制程股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(北京利尔高温材料股份有限公司)&type=14&s=0&law=2&v=l&page=,北京利尔高温材料股份有限公司
http://so.baiten.cn/results?q=pd%253A%2528%255B2011%2520to%25202015%255D%2529%2520and%2520pa:(江苏联发纺织股份有限公司)&type=14&s=0&law=2&v=l&page=,江苏联发纺织股份有限公司
