"","city1_2","flight","plane","flag"
"89","保山昆明","MU5966","73G",18925
"90","北海成都","EU2716","319",203
"91","北海广州","CZ3354","319",9283
"92","北海贵阳","G52612","CR9",23887
"93","北海桂林","CZ3265","738",17215
"94","北海怀化","CZ3979","320",21715
"95","北海昆明","DR6570","73G",19334
"96","北海柳州","G52676","CR9",18921
"97","北海南京","CZ3909","738",959
"98","北海南京","HO1660","320",959
"99","北海南京","CZ3909","738",959
"100","北海武汉","CZ3987","738",3662
"101","北海武汉","CZ3987","738",3662
"102","北海武汉","CZ3987","738",3662
"103","北海西安","3U8596","321",21723
"104","北海长沙","CZ3147","320",4466
"105","北海重庆","EU2717","319",259
"106","北海重庆","CZ3620","319",259
"107","毕节广州","CZ3942","319",11646
"108","毕节广州","CZ3942","319",11646
"109","毕节广州","CZ3942","319",11646
"110","毕节贵阳","G52682","CR9",18532
"111","毕节贵阳","G52630","CR9",18532
"112","毕节贵阳","G52682","CR9",18532
"113","毕节深圳","CZ6474","320",24301
"114","博乐乌鲁木齐","GS7506","E90",18923
"115","博乐乌鲁木齐","CZ6634","73G",18923
"116","博乐乌鲁木齐","GS7508","E90",18923
"117","布尔津乌鲁木齐","CZ6614","73G",21537
"118","布尔津乌鲁木齐","3U8722","320",21537
"119","布尔津乌鲁木齐","CZ6614","73G",21537
"120","布尔津乌鲁木齐","CZ6614","73G",21537
"121","布尔津乌鲁木齐","CZ6622","737",21537
"122","布尔津乌鲁木齐","CZ6614","73G",21537
"123","布尔津乌鲁木齐","CZ6614","73G",21537
"124","布尔津乌鲁木齐","CZ6614","73G",21537
"125","昌都成都","CA4408","319",19348
"126","昌都拉萨","TV9850","319",21356
"127","昌都重庆","TV9907","319",24330
"128","常德广州","CZ3230","319",6588
"129","常德海口","GS6526","E90",2780
"130","常德深圳","CZ6446","320",10688
"131","常州成都","CA4590","320",7772
"132","常州成都","MU2935","320",7772
"133","常州成都","MU2935","320",7772
"134","常州广州","CZ3900","319",4541
"135","常州桂林","MU7845/6","320",7277
"136","常州厦门","MU2973","320",10192
"137","常州厦门","MU2913","320",10192
"138","常州厦门","MU2913","320",10192
"139","常州厦门","MU2973","320",10192
"140","常州厦门","MU2913","320",10192
"141","常州深圳","ZH9450","738",1446
"142","常州深圳","CZ3352","320",1446
"143","常州西安","MU2957","319",7648
"144","常州西安","MU2959","319",7648
"145","常州宜昌","3U8712","320",22209
"146","常州宜昌","3U8712","320",22209
"147","常州重庆","MU2903","320",7145
"148","常州重庆","MU2903","320",7145
"149","常州重庆","3U8594","320",7145
"150","常州珠海","3U8431","319",7360
"151","朝阳大连","MU5642","319",16858
"152","朝阳天津","GS7850","EMB",23925
"153","朝阳天津","GS7850","EMB",23925
"154","朝阳天津","GS7850","EMB",23925
"155","成都阿坝","CA4217","319",18903
"156","成都阿坝","CA4219","319",18903
"157","成都阿克苏","CA4243","320",19273
"158","成都包头","CZ6456","319",10301
"159","成都北海","EU2715","319",203
"160","成都毕节","G52672","CR9",23882
"161","成都昌都","CA4407","319",19348
"162","成都常州","MU2936","320",7772
"163","成都常州","CA4589","320",7772
"164","成都常州","MU2936","320",7772
"165","成都常州","MU2936","320",7772
"166","成都达州","3U8255","319",12222
"167","成都大理","CA4415","319",5047
"168","成都大理","8L9605","73G",5047
"169","成都大理","MU5860","73G",5047
"170","成都大理","MU9703","737",5047
"171","成都大连","MU2962","320",498
"172","成都稻城","3U8357","320",23647
"173","成都稻城","3U8609","319",23647
"174","成都稻城","3U8357","320",23647
"175","成都稻城","3U8357","320",23647
"176","成都稻城","3U8609","319",23647
"177","成都稻城","CA4215","319",23647
"178","成都稻城","MU2191","319",23647
"179","成都德宏","8L9663","73G",5692
"180","成都迪庆","MU5858","73G",9967
"181","成都鄂尔多斯","3U8969","319",6772
"182","成都鄂尔多斯","3U8969","319",6772
"183","成都福州","MF8452","752",10063
"184","成都福州","CA4229","320",10063
"185","成都福州","MF8436","738",10063
"186","成都赣州","3U8937","319",12772
"187","成都广州","3U8735","321",2561
"188","成都广州","CZ3484","319",2561
"189","成都广州","CZ3438","319",2561
"190","成都广州","CA4309","321",2561
"191","成都广州","3U8737","321",2561
"192","成都广州","JD5162","319",2561
"193","成都广州","CA4303","321",2561
"194","成都广州","CA4301","330",2561
"195","成都广州","HU7144","738",2561
