"","flight","plane","city1","city2","city3","city4","city5","city1_2"
"732","NS3275","E90","石家庄","南通","温州",NA,NA,"石家庄南通"
"733","NS3276","E90","温州","南通","石家庄",NA,NA,"温州南通"
"734","NS3276","E90","温州","南通","石家庄",NA,NA,"温州南通"
"735","NS3277","E90","石家庄","宁波","珠海",NA,NA,"石家庄宁波"
"736","NS3278","E90","珠海","宁波","石家庄",NA,NA,"珠海宁波"
"739","NS3283","E90","石家庄","西安","绵阳",NA,NA,"石家庄西安"
"740","NS3284","E90","绵阳","西安","石家庄",NA,NA,"绵阳西安"
"743","NS3291","E90","石家庄","北戴河","青岛",NA,NA,"石家庄北戴河"
"744","NS3292","E90","青岛","北戴河","石家庄",NA,NA,"青岛北戴河"
"745","NS3305","E90","石家庄","杭州","泉州",NA,NA,"石家庄杭州"
"746","NS3306","E90","泉州","杭州","石家庄",NA,NA,"泉州杭州"
"747","NS3323","E90","包头","石家庄","贵阳",NA,NA,"包头石家庄"
"748","NS3324","E90","贵阳","石家庄","包头",NA,NA,"贵阳石家庄"
"749","GS6609","EMB","呼和浩特","郑州","合肥",NA,NA,"呼和浩特郑州"
"750","GS6609","EMB","呼和浩特","郑州","合肥",NA,NA,"呼和浩特郑州"
"751","GS6610","EMB","合肥","郑州","呼和浩特",NA,NA,"合肥郑州"
"752","GS6610","EMB","合肥","郑州","呼和浩特",NA,NA,"合肥郑州"
"757","GS6627","EMB","呼和浩特","吕梁","长沙",NA,NA,"呼和浩特吕梁"
"758","GS6628","EMB","长沙","吕梁","呼和浩特",NA,NA,"长沙吕梁"
"765","GS6675","EMB","呼和浩特","银川","兰州",NA,NA,"呼和浩特银川"
"766","GS6676","EMB","兰州","银川","呼和浩特",NA,NA,"兰州银川"
"769","GS6695","EMB","呼和浩特","赤峰","沈阳",NA,NA,"呼和浩特赤峰"
"770","GS6696","EMB","沈阳","赤峰","呼和浩特",NA,NA,"沈阳赤峰"
"771","GS7811","EMB","天津","南昌","井冈山",NA,NA,"天津南昌"
"772","GS7812","EMB","井冈山","南昌","天津",NA,NA,"井冈山南昌"
"773","GS7833","EMB","天津","通辽","满洲里",NA,NA,"天津通辽"
"774","GS7834","EMB","满洲里","通辽","天津",NA,NA,"满洲里通辽"
"775","GS7837","EMB","天津","太原","长治",NA,NA,"天津太原"
"776","GS7837","EMB","天津","太原","长治",NA,NA,"天津太原"
"777","GS7838","EMB","长治","太原","天津",NA,NA,"长治太原"
"784","GS7903","EMB","天津","沈阳","海拉尔",NA,NA,"天津沈阳"
"785","GS7903","EMB","天津","沈阳","海拉尔",NA,NA,"天津沈阳"
"786","GS7904","EMB","海拉尔","沈阳","天津",NA,NA,"海拉尔沈阳"
"787","GS7905","EMB","天津","大同","呼和浩特",NA,NA,"天津大同"
"788","GS7905","EMB","天津","大同","呼和浩特",NA,NA,"天津大同"
"789","GS7906","EMB","呼和浩特","大同","天津",NA,NA,"呼和浩特大同"
"790","GS7906","EMB","呼和浩特","大同","天津",NA,NA,"呼和浩特大同"
"791","GS7906","EMB","呼和浩特","大同","天津",NA,NA,"呼和浩特大同"
"792","GS7907","EMB","天津","包头","西安",NA,NA,"天津包头"
"793","GS7907","EMB","天津","包头","西安",NA,NA,"天津包头"
"794","GS7908","EMB","西安","包头","天津",NA,NA,"西安包头"
"795","GS7908","EMB","西安","包头","天津",NA,NA,"西安包头"
"796","GS7911","EMB","天津","沈阳","佳木斯",NA,NA,"天津沈阳"
"797","GS7912","EMB","佳木斯","沈阳","天津",NA,NA,"佳木斯沈阳"
"798","GS7915","EMB","天津","赤峰","海拉尔",NA,NA,"天津赤峰"
"799","GS7916","EMB","海拉尔","赤峰","天津",NA,NA,"海拉尔赤峰"
"800","GS7916","EMB","海拉尔","赤峰","天津",NA,NA,"海拉尔赤峰"
"805","BK2747","MA6","天津","沈阳","延吉",NA,NA,"天津沈阳"
"806","BK2748","MA6","延吉","沈阳","天津",NA,NA,"延吉沈阳"
"807","BK2763","MA6","阿拉善左旗","阿拉善右旗","额济纳旗",NA,NA,"阿拉善左旗阿拉善右旗"
"808","BK2764","MA6","额济纳旗","阿拉善右旗","阿拉善左旗",NA,NA,"额济纳旗阿拉善右旗"
"820","BK2877","MA6","天津","呼和浩特","阿拉善左旗",NA,NA,"天津呼和浩特"
"821","BK2878","MA6","阿拉善左旗","呼和浩特","天津",NA,NA,"阿拉善左旗呼和浩特"
"822","BK2943","MA6","榆林","大同","天津",NA,NA,"榆林大同"
"823","BK2943","MA6","榆林","大同","天津",NA,NA,"榆林大同"
"824","BK2944","MA6","天津","大同","榆林",NA,NA,"天津大同"
"825","BK2944","MA6","天津","大同","榆林",NA,NA,"天津大同"
"826","BK2987","MA6","榆林","石家庄","天津",NA,NA,"榆林石家庄"
"827","BK2987","MA6","榆林","石家庄","天津",NA,NA,"榆林石家庄"
"828","BK2987","MA6","榆林","石家庄","天津",NA,NA,"榆林石家庄"
"829","BK2987","MA6","榆林","石家庄","天津",NA,NA,"榆林石家庄"
