,flight,plane,city1,city2,city3,city4,city5,city1_2
536,MU2710,320,包头,郑州,南京,NA,NA,包头郑州
538,MU2717/8,320,南京,张家界,南京,NA,NA,南京张家界
539,MU2717/8,320,南京,张家界,南京,NA,NA,南京张家界
540,MU2717/8,320,南京,张家界,南京,NA,NA,南京张家界
541,MU2717/8,320,南京,张家界,南京,NA,NA,南京张家界
542,MU2717/8,320,南京,张家界,南京,NA,NA,南京张家界
543,MU2717/8,320,南京,张家界,南京,NA,NA,南京张家界
545,MU2727/8,320,南京,三亚,南京,NA,NA,南京三亚
546,MU2727/8,320,南京,三亚,南京,NA,NA,南京三亚
547,MU2727/8,320,南京,三亚,南京,NA,NA,南京三亚
551,MU2749,320,南京,兰州,敦煌,NA,NA,南京兰州
552,MU2749,320,南京,兰州,敦煌,NA,NA,南京兰州
553,MU2749,320,南京,兰州,敦煌,NA,NA,南京兰州
554,MU2749,320,南京,兰州,敦煌,NA,NA,南京兰州
555,MU2750,320,敦煌,兰州,南京,NA,NA,敦煌兰州
556,MU2750,320,敦煌,兰州,南京,NA,NA,敦煌兰州
557,MU2750,320,敦煌,兰州,南京,NA,NA,敦煌兰州
558,MU2750,320,敦煌,兰州,南京,NA,NA,敦煌兰州
559,MU2750,320,敦煌,兰州,南京,NA,NA,敦煌兰州
560,MU2750,320,敦煌,兰州,南京,NA,NA,敦煌兰州
563,MU2755,320,南京,南昌,贵阳,NA,NA,南京南昌
564,MU2756,320,贵阳,南昌,南京,NA,NA,贵阳南昌
565,MU2769,320,南京,西安,乌鲁木齐,NA,NA,南京西安
566,MU2770,320,乌鲁木齐,西安,南京,NA,NA,乌鲁木齐西安
567,MU2771,320,南京,大连,长春,NA,NA,南京大连
568,MU2771,320,南京,大连,长春,NA,NA,南京大连
569,MU2771,320,南京,大连,长春,NA,NA,南京大连
570,MU2771,320,南京,大连,长春,NA,NA,南京大连
571,MU2772,320,长春,大连,南京,NA,NA,长春大连
572,MU2772,320,长春,大连,南京,NA,NA,长春大连
573,MU2772,320,长春,大连,南京,NA,NA,长春大连
574,MU2777,320,南京,石家庄,呼和浩特,NA,NA,南京石家庄
576,MU2778,320,呼和浩特,石家庄,南京,NA,NA,呼和浩特石家庄
577,MU2779,320,南京,乌鲁木齐,伊宁,NA,NA,南京乌鲁木齐
578,MU2779,320,南京,乌鲁木齐,伊宁,NA,NA,南京乌鲁木齐
579,MU2780,320,伊宁,乌鲁木齐,南京,NA,NA,伊宁乌鲁木齐
580,MU2780,320,伊宁,乌鲁木齐,南京,NA,NA,伊宁乌鲁木齐
581,MU2789,320,南京,银川,乌鲁木齐,NA,NA,南京银川
582,MU2789,320,南京,银川,乌鲁木齐,NA,NA,南京银川
583,MU2790,320,乌鲁木齐,银川,南京,NA,NA,乌鲁木齐银川
584,MU2790,320,乌鲁木齐,银川,南京,NA,NA,乌鲁木齐银川
585,MU2791,320,南京,大连,海拉尔,NA,NA,南京大连
586,MU2791,320,南京,大连,海拉尔,NA,NA,南京大连
587,MU2791,320,南京,大连,海拉尔,NA,NA,南京大连
588,MU2791,320,南京,大连,海拉尔,NA,NA,南京大连
589,MU2792,320,海拉尔,大连,南京,NA,NA,海拉尔大连
590,MU2792,320,海拉尔,大连,南京,NA,NA,海拉尔大连
594,MU2795/6,320,南京,西宁,南京,NA,NA,南京西宁
618,MU2829/30,320,南京,厦门,南京,NA,NA,南京厦门
625,MU2855/6,320,南京,重庆,南京,NA,NA,南京重庆
637,MU2905/6,320,无锡,成都,无锡,NA,NA,无锡成都
642,MU2929/30,320,淮安,温州,淮安,NA,NA,淮安温州
645,MU2957/8,320,无锡,张家界,无锡,NA,NA,无锡张家界
646,MU2957/8,320,无锡,张家界,无锡,NA,NA,无锡张家界
647,MU2965,320,无锡,长沙,贵阳,NA,NA,无锡长沙
648,MU2965,320,无锡,长沙,贵阳,NA,NA,无锡长沙
650,MU2966,320,贵阳,长沙,无锡,NA,NA,贵阳长沙
651,MU2987/8,320,无锡,深圳,无锡,NA,NA,无锡深圳
652,MU2987/8,320,无锡,深圳,无锡,NA,NA,无锡深圳
653,MU2987/8,320,无锡,深圳,无锡,NA,NA,无锡深圳
654,MU2991/2,320,无锡,海拉尔,无锡,NA,NA,无锡海拉尔
657,MU5219/20,320,杭州,深圳,杭州,NA,NA,杭州深圳
658,MU5235/6,320,杭州,重庆,杭州,NA,NA,杭州重庆
661,MU5243/4,320,宁波,深圳,宁波,NA,NA,宁波深圳
664,MU5249/50,320,宁波,长沙,宁波,NA,NA,宁波长沙
665,MU5261/2,320,南昌,深圳,南昌,NA,NA,南昌深圳
666,MU5271,320,杭州,青岛,哈尔滨,NA,NA,杭州青岛
667,MU5272,320,哈尔滨,青岛,杭州,NA,NA,哈尔滨青岛
668,MU5277/8,320,杭州,沈阳,杭州,NA,NA,杭州沈阳
672,MU5345/6,320,合肥,桂林,合肥,NA,NA,合肥桂林
675,MU5375,320,南昌,赣州,海口,NA,NA,南昌赣州
676,MU5376,320,海口,赣州,南昌,NA,NA,海口赣州
677,MU5379/80,320,杭州,郑州,杭州,NA,NA,杭州郑州
678,MU5379/80,320,杭州,郑州,杭州,NA,NA,杭州郑州
679,MU5387/8,320,合肥,桂林,合肥,NA,NA,合肥桂林
680,MU5387/8,320,合肥,桂林,合肥,NA,NA,合肥桂林
684,MU5435/6,320,合肥,成都,合肥,NA,NA,合肥成都
685,MU5435/6,320,合肥,成都,合肥,NA,NA,合肥成都
690,MU5495/6,320,合肥,重庆,合肥,NA,NA,合肥重庆
691,MU5495/6,320,合肥,重庆,合肥,NA,NA,合肥重庆
708,MU5529/30,320,上海浦东,盐城,上海浦东,NA,NA,上海浦东盐城
709,MU5529/30,320,上海浦东,盐城,上海浦东,NA,NA,上海浦东盐城
712,MU5534/5,320,济南,上海浦东,济南,NA,NA,济南上海浦东
723,MU5561/2,320,杭州,桂林,杭州,NA,NA,杭州桂林
724,MU5565/6,320,上海虹桥,南昌,上海虹桥,NA,NA,上海虹桥南昌
725,MU5567/8,320,上海虹桥,南昌,上海虹桥,NA,NA,上海虹桥南昌
728,MU5571/2,320,合肥,兰州,合肥,NA,NA,合肥兰州
729,MU5571/2,320,合肥,兰州,合肥,NA,NA,合肥兰州
