,flight,plane,city1,city2,city3,city4,city5,remarks,flight_account,flight_num
155,CA1529/30,738,天津,厦门,天津,NA,NA,"或B733/73G执行 _x000D_
执行日期：3月27-10月29日；临时取消：6月11-6月30日_x000D_
取消：0701-0731",1,.....6.
156,CA1529/30,738,天津,厦门,天津,NA,NA,"或B733/73G执行_x000D_
执行日期：0327-1029_x000D_
取消：0701-0731",2,.2.4...
157,CA1655/6,738,北京首都,海拉尔,北京首都,NA,NA,执行日期：6月3-6月30日,3,1...56.
158,CA1693/4,738,北京首都,鄂尔多斯,北京首都,NA,NA,NA,7,1234567
159,CA1913/4,738,呼和浩特,海口,呼和浩特,NA,NA,执行日期0701-1024执行,7,1234567
160,CA1927/8,738,呼和浩特,长沙,呼和浩特,NA,NA,执行日期0701-1024执行,7,1234567
161,CA1933/4,738,呼和浩特,长沙,呼和浩特,NA,NA,执行日期0701-1024执行,7,1234567
162,CA6001/2,738,北京首都,呼和浩特,北京首都,NA,NA,NA,1,..3....
163,CA6001/2,738,北京首都,呼和浩特,北京首都,NA,NA,NA,1,1......
164,CA6001/2,738,北京首都,呼和浩特,北京首都,NA,NA,NA,1,...4...
165,CA6001/2,738,北京首都,呼和浩特,北京首都,NA,NA,NA,2,.2....7
166,CA6003/4,738,呼和浩特,北京首都,呼和浩特,NA,NA,NA,3,123....
167,CA6003/4,738,呼和浩特,北京首都,呼和浩特,NA,NA,NA,2,...4..7
168,CA6005/6,738,包头,北京首都,包头,NA,NA,NA,1,......7
169,CA6005/6,738,包头,北京首都,包头,NA,NA,NA,1,...4...
170,CA6005/6,738,包头,北京首都,包头,NA,NA,NA,1,....5..
171,CA6005/6,738,包头,北京首都,包头,NA,NA,NA,4,123..6.
172,CA6007/8,738,北京首都,包头,北京首都,NA,NA,NA,1,......7
173,CA6007/8,738,北京首都,包头,北京首都,NA,NA,NA,1,1......
174,CA6007/8,738,北京首都,包头,北京首都,NA,NA,NA,1,...4...
175,CA7501/2,738,呼和浩特,长沙,呼和浩特,NA,NA,执行日期0801-1024执行,2,...4..7
