city1_2,flight,plane,city1,city2,city3,city4,city5,remarks,flight_account,flag
长沙淮安,NA,NA,NA,NA,NA,NA,NA,NA,NA,8033
南京中卫,NA,NA,NA,NA,NA,NA,NA,NA,NA,20938
郑州义乌,NA,NA,NA,NA,NA,NA,NA,NA,NA,8041
潍坊重庆,NA,NA,NA,NA,NA,NA,NA,NA,NA,8045
福州温州,NA,NA,NA,NA,NA,NA,NA,NA,NA,1788
温州福州,NA,NA,NA,NA,NA,NA,NA,NA,NA,1788
大同上海浦东,NA,NA,NA,NA,NA,NA,NA,NA,NA,8051
太原绵阳,NA,NA,NA,NA,NA,NA,NA,NA,NA,8068
烟台呼和浩特,NA,NA,NA,NA,NA,NA,NA,NA,NA,13490
满洲里西安,NA,NA,NA,NA,NA,NA,NA,NA,NA,20986
长沙西双版纳,NA,NA,NA,NA,NA,NA,NA,NA,NA,1819
西双版纳长沙,NA,NA,NA,NA,NA,NA,NA,NA,NA,1819
长春北海,NA,NA,NA,NA,NA,NA,NA,NA,NA,24325
漠河北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,20991
黄山上海浦东,NA,NA,NA,NA,NA,NA,NA,NA,NA,1822
上海浦东黄山,NA,NA,NA,NA,NA,NA,NA,NA,NA,1822
吉林上海浦东,NA,NA,NA,NA,NA,NA,NA,NA,NA,1856
上海浦东吉林,NA,NA,NA,NA,NA,NA,NA,NA,NA,1856
重庆武夷山,NA,NA,NA,NA,NA,NA,NA,NA,NA,8091
揭阳潮汕郑州,NA,NA,NA,NA,NA,NA,NA,NA,NA,8097
北京南苑湛江,NA,NA,NA,NA,NA,NA,NA,NA,NA,1875
湛江北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,1875
黄山揭阳潮汕,NA,NA,NA,NA,NA,NA,NA,NA,NA,1881
揭阳潮汕黄山,NA,NA,NA,NA,NA,NA,NA,NA,NA,1881
上海浦东井冈山,NA,NA,NA,NA,NA,NA,NA,NA,NA,13592
井冈山上海浦东,NA,NA,NA,NA,NA,NA,NA,NA,NA,13592
秦皇岛西安,NA,NA,NA,NA,NA,NA,NA,NA,NA,21105
秦皇岛深圳,NA,NA,NA,NA,NA,NA,NA,NA,NA,21106
榆林三亚,NA,NA,NA,NA,NA,NA,NA,NA,NA,13650
三亚榆林,NA,NA,NA,NA,NA,NA,NA,NA,NA,13650
哈尔滨福州,NA,NA,NA,NA,NA,NA,NA,NA,NA,13658
武汉济宁,NA,NA,NA,NA,NA,NA,NA,NA,NA,8131
兰州青岛,NA,NA,NA,NA,NA,NA,NA,NA,NA,1908
徐州重庆,NA,NA,NA,NA,NA,NA,NA,NA,NA,8144
潍坊泉州,NA,NA,NA,NA,NA,NA,NA,NA,NA,18328
珠海武汉,NA,NA,NA,NA,NA,NA,NA,NA,NA,8153
哈尔滨呼和浩特,NA,NA,NA,NA,NA,NA,NA,NA,NA,13739
泉州常州,NA,NA,NA,NA,NA,NA,NA,NA,NA,8167
连云港秦皇岛,NA,NA,NA,NA,NA,NA,NA,NA,NA,1958
秦皇岛连云港,NA,NA,NA,NA,NA,NA,NA,NA,NA,1958
沈阳呼伦贝尔,NA,NA,NA,NA,NA,NA,NA,NA,NA,13964
呼伦贝尔沈阳,NA,NA,NA,NA,NA,NA,NA,NA,NA,13964
成都秦皇岛,NA,NA,NA,NA,NA,NA,NA,NA,NA,14132
秦皇岛成都,NA,NA,NA,NA,NA,NA,NA,NA,NA,14132
盐城北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,14144
北京南苑牡丹江,NA,NA,NA,NA,NA,NA,NA,NA,NA,8194
大连徐州,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991
巴彦淖尔北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,8203
北京南苑巴彦淖尔,NA,NA,NA,NA,NA,NA,NA,NA,NA,8203
南昌沈阳,NA,NA,NA,NA,NA,NA,NA,NA,NA,14192
吉林深圳,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996
深圳吉林,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996
珠海温州,NA,NA,NA,NA,NA,NA,NA,NA,NA,18432
通辽沈阳,NA,NA,NA,NA,NA,NA,NA,NA,NA,8216
沈阳通辽,NA,NA,NA,NA,NA,NA,NA,NA,NA,8216
运城上海浦东,NA,NA,NA,NA,NA,NA,NA,NA,NA,8228
上海浦东运城,NA,NA,NA,NA,NA,NA,NA,NA,NA,8228
秦皇岛哈尔滨,NA,NA,NA,NA,NA,NA,NA,NA,NA,14255
沈阳桂林,NA,NA,NA,NA,NA,NA,NA,NA,NA,14295
济宁海口,NA,NA,NA,NA,NA,NA,NA,NA,NA,8243
海口济宁,NA,NA,NA,NA,NA,NA,NA,NA,NA,8243
乌鲁木齐珠海,NA,NA,NA,NA,NA,NA,NA,NA,NA,21285
沈阳连云港,NA,NA,NA,NA,NA,NA,NA,NA,NA,14394
温州襄阳,NA,NA,NA,NA,NA,NA,NA,NA,NA,21291
晋江深圳,NA,NA,NA,NA,NA,NA,NA,NA,NA,2053
深圳晋江,NA,NA,NA,NA,NA,NA,NA,NA,NA,2053
成都中甸,NA,NA,NA,NA,NA,NA,NA,NA,NA,2057
中甸成都,NA,NA,NA,NA,NA,NA,NA,NA,NA,2057
牡丹江上海浦东,NA,NA,NA,NA,NA,NA,NA,NA,NA,2068
连云港海口,NA,NA,NA,NA,NA,NA,NA,NA,NA,8269
敦煌银川,NA,NA,NA,NA,NA,NA,NA,NA,NA,2070
银川敦煌,NA,NA,NA,NA,NA,NA,NA,NA,NA,2070
广州襄樊,NA,NA,NA,NA,NA,NA,NA,NA,NA,2080
襄樊广州,NA,NA,NA,NA,NA,NA,NA,NA,NA,2080
兰州沈阳,NA,NA,NA,NA,NA,NA,NA,NA,NA,2082
九寨沟昆明,NA,NA,NA,NA,NA,NA,NA,NA,NA,1593
昆明九寨沟,NA,NA,NA,NA,NA,NA,NA,NA,NA,1593
天津通辽,NA,NA,NA,NA,NA,NA,NA,NA,NA,8298
通辽天津,NA,NA,NA,NA,NA,NA,NA,NA,NA,8298
黄山大连,NA,NA,NA,NA,NA,NA,NA,NA,NA,8306
黄山武汉,NA,NA,NA,NA,NA,NA,NA,NA,NA,2149
武汉黄山,NA,NA,NA,NA,NA,NA,NA,NA,NA,2149
济宁西安,NA,NA,NA,NA,NA,NA,NA,NA,NA,8323
赤峰包头,NA,NA,NA,NA,NA,NA,NA,NA,NA,8343
晋江温州,NA,NA,NA,NA,NA,NA,NA,NA,NA,2193
温州晋江,NA,NA,NA,NA,NA,NA,NA,NA,NA,2193
海口襄樊,NA,NA,NA,NA,NA,NA,NA,NA,NA,2198
襄樊海口,NA,NA,NA,NA,NA,NA,NA,NA,NA,2198
揭阳潮汕南昌,NA,NA,NA,NA,NA,NA,NA,NA,NA,2131
上海浦东邯郸,NA,NA,NA,NA,NA,NA,NA,NA,NA,8366
邯郸上海浦东,NA,NA,NA,NA,NA,NA,NA,NA,NA,8366
沈阳郑州,NA,NA,NA,NA,NA,NA,NA,NA,NA,8384
德令哈西宁,NA,NA,NA,NA,NA,NA,NA,NA,NA,21503
银川巴彦淖尔,NA,NA,NA,NA,NA,NA,NA,NA,NA,21507
庆阳西安,NA,NA,NA,NA,NA,NA,NA,NA,NA,21511
加格达奇漠河,NA,NA,NA,NA,NA,NA,NA,NA,NA,21513
济南武夷山,NA,NA,NA,NA,NA,NA,NA,NA,NA,2269
武夷山济南,NA,NA,NA,NA,NA,NA,NA,NA,NA,2269
广州中甸,NA,NA,NA,NA,NA,NA,NA,NA,NA,2282
中甸广州,NA,NA,NA,NA,NA,NA,NA,NA,NA,2282
广州西双版纳,NA,NA,NA,NA,NA,NA,NA,NA,NA,8414
北京南苑大庆,NA,NA,NA,NA,NA,NA,NA,NA,NA,18713
海口永州,NA,NA,NA,NA,NA,NA,NA,NA,NA,2317
永州海口,NA,NA,NA,NA,NA,NA,NA,NA,NA,2317
长治哈尔滨,NA,NA,NA,NA,NA,NA,NA,NA,NA,18725
秦皇岛石家庄,NA,NA,NA,NA,NA,NA,NA,NA,NA,21602
通辽哈尔滨,NA,NA,NA,NA,NA,NA,NA,NA,NA,18734
温州张家界,NA,NA,NA,NA,NA,NA,NA,NA,NA,3202
武汉运城,NA,NA,NA,NA,NA,NA,NA,NA,NA,8457
百色上海浦东,NA,NA,NA,NA,NA,NA,NA,NA,NA,21637
阿克苏郑州,NA,NA,NA,NA,NA,NA,NA,NA,NA,21640
西安珠海,NA,NA,NA,NA,NA,NA,NA,NA,NA,3466
桂林珠海,NA,NA,NA,NA,NA,NA,NA,NA,NA,2332
珠海桂林,NA,NA,NA,NA,NA,NA,NA,NA,NA,2332
厦门运城,NA,NA,NA,NA,NA,NA,NA,NA,NA,8478
阿克苏青岛,NA,NA,NA,NA,NA,NA,NA,NA,NA,21647
贵阳中甸,NA,NA,NA,NA,NA,NA,NA,NA,NA,2349
中甸贵阳,NA,NA,NA,NA,NA,NA,NA,NA,NA,2349
福州无锡,NA,NA,NA,NA,NA,NA,NA,NA,NA,8490
安庆宁波,NA,NA,NA,NA,NA,NA,NA,NA,NA,21655
南昌温州,NA,NA,NA,NA,NA,NA,NA,NA,NA,2360
安顺杭州,NA,NA,NA,NA,NA,NA,NA,NA,NA,21662
晋江西安,NA,NA,NA,NA,NA,NA,NA,NA,NA,2372
西安晋江,NA,NA,NA,NA,NA,NA,NA,NA,NA,2372
安顺三亚,NA,NA,NA,NA,NA,NA,NA,NA,NA,21666
深圳北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,8511
北京南苑深圳,NA,NA,NA,NA,NA,NA,NA,NA,NA,8511
厦门济宁,NA,NA,NA,NA,NA,NA,NA,NA,NA,8517
济宁厦门,NA,NA,NA,NA,NA,NA,NA,NA,NA,8517
昆明凯里,NA,NA,NA,NA,NA,NA,NA,NA,NA,8538
凯里昆明,NA,NA,NA,NA,NA,NA,NA,NA,NA,8538
景德镇上海浦东,NA,NA,NA,NA,NA,NA,NA,NA,NA,4113
丽江西安,NA,NA,NA,NA,NA,NA,NA,NA,NA,8551
毕节丽江,NA,NA,NA,NA,NA,NA,NA,NA,NA,21703
北京南苑合肥,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
襄阳南京,NA,NA,NA,NA,NA,NA,NA,NA,NA,8557
南京襄阳,NA,NA,NA,NA,NA,NA,NA,NA,NA,8557
合肥北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
