"","city1_2","flight","plane","city1","city2","city3","city4","city5","remarks","flight_account","flag"
"19129","郑州揭阳","PN6325","319","郑州","揭阳",NA,NA,NA,"或320执行",7,NA
"19130","郑州揭阳","FM9571/2","737","郑州","揭阳",NA,NA,NA,NA,3,NA
"19131","郑州揭阳","FM9571/2","737","郑州","揭阳",NA,NA,NA,NA,3,NA
"19132","郑州九寨","PN6210","319","郑州","九寨",NA,NA,NA,"执行日期0501-1029",7,NA
"19136","郑州凯里","8L9686","73G","郑州","凯里","昆明",NA,NA,"或A319/A320执行。",7,NA
"19137","郑州克拉玛依","FM9567/8","737","郑州","克拉玛依",NA,NA,NA,"或B738执行",4,NA
"19138","郑州克拉玛依","FM9567/8","737","郑州","克拉玛依",NA,NA,NA,"或B738执行",4,NA
"19139","郑州克拉玛依","FM9567/8","737","郑州","克拉玛依",NA,NA,NA,"或B738执行",2,NA
"19140","郑州克拉玛依","FM9567/8","737","郑州","克拉玛依",NA,NA,NA,"或B738执行",2,NA
"19506","重庆甘孜","3U8165","319","重庆","甘孜",NA,NA,NA,"或330/321/320执行 待航路走向批复后执行",2,NA
"19594","重庆汉中","G52787","CR9","重庆","汉中","西安",NA,NA,NA,3,NA
"19595","重庆汉中","G52787","CR9","重庆","汉中","西安",NA,NA,NA,3,NA
"19657","重庆揭阳","CZ3826","738","重庆","揭阳",NA,NA,NA,"与MF1626 G55050 MU4742代码共享",7,NA
"19658","重庆揭阳","OQ2353","319","重庆","揭阳",NA,NA,NA,"执行日期0327-1029执行 与CZ8153 G55195代码共享",7,NA
"19659","重庆揭阳","CZ3860","738","重庆","揭阳",NA,NA,NA,"与MF1656 G55054代码共享",7,NA
"19660","重庆揭阳","PN6305","319","重庆","揭阳",NA,NA,NA,"或320执行",7,NA
"19661","重庆揭阳","3U8921","320","重庆","揭阳",NA,NA,NA,"或330/321/319执行",6,NA
"19662","重庆九寨","3U8025","319","重庆","九寨",NA,NA,NA,NA,2,NA
"19663","重庆九寨","3U8407","319","重庆","九寨",NA,NA,NA,NA,4,NA
"19664","重庆九寨","CA4331","737","重庆","九寨",NA,NA,NA,NA,7,NA
"19665","重庆九寨","CA4525","737","重庆","九寨",NA,NA,NA,NA,7,NA
"19666","重庆九寨","CA4397","737","重庆","九寨",NA,NA,NA,NA,7,NA
"19667","重庆九寨","CA4427","73G","重庆","九寨",NA,NA,NA,NA,4,NA
"19668","重庆九寨","3U8025","319","重庆","九寨",NA,NA,NA,NA,5,NA
"19669","重庆九寨","3U8129","319","重庆","九寨",NA,NA,NA,"或320执行",1,NA
"19670","重庆九寨","OQ2381","319","重庆","九寨",NA,NA,NA,"执行日期0327-1029执行 与CZ8181 G55203代码共享",7,NA
"19671","重庆九寨","3U8129","319","重庆","九寨",NA,NA,NA,"或320执行",1,NA
"19672","重庆九寨","OQ2383/4","319","重庆","九寨","重庆",NA,NA,NA,7,NA
"19673","重庆九寨","PN6225/6","319","重庆","九寨","重庆",NA,NA,NA,7,NA
"19738","重庆临汾","G52625/6","CR9","重庆","临汾","天津","临汾","重庆",NA,3,NA
"19739","重庆临汾","G52625/6","CR9","重庆","临汾",NA,NA,NA,NA,3,NA
"19749","重庆六盘水","G52897","CR9","重庆","六盘水",NA,NA,NA,"待航线走向批复后执行",4,NA
"19750","重庆六盘水","G52617","CR9","重庆","六盘水",NA,NA,NA,NA,7,NA
"19945","重庆天水","G52781","CR9","重庆","天水","西安",NA,NA,NA,7,NA
"19948","重庆万县","G52663","CR9","重庆","万县","南京",NA,NA,NA,4,NA
"20109","舟山揭阳","MU5205","319","舟山","揭阳",NA,NA,NA,"执行日期0327-1029执行 或320执行",7,NA
"20173","珠海揭阳","FM9298","738","珠海","揭阳","上海虹桥",NA,NA,"或333/767/73G执行 执行日期0327-1029执行",7,NA
"20174","珠海揭阳","MU2458","738","珠海","揭阳","武汉",NA,NA,"执行日期0410-1029执行",7,NA
"20300","遵义西宁","GJ8795/6","320","遵义","西宁",NA,NA,NA,NA,7,NA
"20301","遵义西宁","GJ8795/6","320","遵义","西宁",NA,NA,NA,NA,7,NA
