"","city1_2","flight","plane","city1","city2","city3","city4","city5","remarks","flight_account","flag"
"197","包头西安","GS7614","E90","包头","西安",NA,NA,NA,"或320/EM4执行",4,11651
"198","包头西安","GS7907","EMB","包头","西安",NA,NA,NA,"或320/E90执行",1,11651
"199","包头西安","CZ6586","319","包头","西安","三亚",NA,NA,"或321/320执行",3,11651
"200","包头西安","GS7907","EMB","包头","西安",NA,NA,NA,"或320/E90执行",2,11651
"201","包头长春","CZ6207","738","包头","长春",NA,NA,NA,"与MF1878 G55081代码共享",1,12951
"202","包头长春","CZ6207","738","包头","长春",NA,NA,NA,"与MF1878 G55081代码共享",2,12951
"203","包头长春","CZ6207","738","包头","长春",NA,NA,NA,"与MF1878 G55081代码共享",1,12951
"204","包头长春","CZ6207","738","包头","长春",NA,NA,NA,"与MF1878 G55081代码共享",1,12951
"205","包头长春","CZ6207","738","包头","长春",NA,NA,NA,"与MF1878 G55081代码共享",1,12951
"206","包头长春","CZ6207","738","包头","长春",NA,NA,NA,"与MF1878 G55081代码共享",1,12951
"207","包头长沙","CZ6648","320","包头","长沙",NA,NA,NA,"与MF4226 NS6648 G55146代码共享 或321执行  执行日期0412-1029执行",3,19296
"208","包头长沙","CZ6648","320","包头","长沙",NA,NA,NA,"与MF4226 NS6648 G55146代码共享 或321执行",4,19296
"209","包头郑州","JD5399","319","包头","郑州","三亚",NA,NA,"或320/321/330执行",7,9247
"210","包头郑州","CZ3196","738","包头","郑州","广州",NA,NA,"与MF1078 G55004 MU4676代码共享 执行日期0406-1029执行",4,9247
"211","包头郑州","EU2240","319","包头","郑州","丽江",NA,NA,"或A320执行",7,9247
"212","包头郑州","CZ3196","738","包头","郑州","广州",NA,NA,"与MF1078 G55004 MU4676代码共享 执行日期0406-1029执行",3,9247
"213","包头重庆","G52762","CR9","包头","重庆",NA,NA,NA,NA,3,21674
"214","保山北京首都","MU9741","73G","保山","北京首都",NA,NA,NA,"执行日期0327-1029执行 待航路走向批复后执行",3,21731
"215","保山广州","MU5737","73G","保山","广州",NA,NA,NA,"执行日期0327-1029执行 或738执行",7,19349
"216","保山杭州","MU5793","73G","保山","杭州",NA,NA,NA,"执行日期0327-1029执行 待航路走向批复后执行",2,24333
"217","保山杭州","MU5793","73G","保山","杭州",NA,NA,NA,"执行日期0327-1029执行 待航路走向批复后执行",1,24333
"218","保山昆明","MU5966","73G","保山","昆明",NA,NA,NA,"执行日期0327-1029执行",3,18925
"219","保山昆明","MU9742","73G","保山","昆明",NA,NA,NA,"执行日期0327-1029执行 待航路走向批复后执行",3,18925
"220","保山昆明","MU5966","73G","保山","昆明",NA,NA,NA,"执行日期0327-1029执行",3,18925
"221","保山昆明","MU5986","73G","保山","昆明",NA,NA,NA,"执行日期0327-1029执行",7,18925
"222","保山昆明","MU5966","73G","保山","昆明",NA,NA,NA,"执行日期0327-1029执行",1,18925
"223","保山昆明","MU5896","73G","保山","昆明",NA,NA,NA,"执行日期0327-1029执行",4,18925
"224","保山昆明","MU5737","73G","保山","昆明","广州",NA,NA,"执行日期0327-1029执行 或738执行",7,18925
"225","保山昆明","MU5982","73G","保山","昆明",NA,NA,NA,"执行日期0327-1029执行",7,18925
"226","北戴河成都","DR6542","73G","北戴河","成都",NA,NA,NA,"或738执行待航路走向批复后执行。",4,NA
"227","北戴河广州","HU7324","738","北戴河","广州",NA,NA,NA,"待航路走向批复后执行",4,NA
"228","北戴河哈尔滨","DR6541","73G","北戴河","哈尔滨",NA,NA,NA,"或738执行待航路走向批复后执行。",4,NA
"229","北戴河青岛","NS3291","E90","北戴河","青岛",NA,NA,NA,"或73G/738执行",3,NA
"230","北戴河上海浦东","FM9142","73G","北戴河","上海浦东",NA,NA,NA,"或333/767/738执行 执行日期0327-1029执行",1,NA
"231","北戴河上海浦东","FM9142","73G","北戴河","上海浦东",NA,NA,NA,"或333/767/738执行 执行日期0327-1029执行",1,NA
"232","北戴河上海浦东","FM9142","73G","北戴河","上海浦东",NA,NA,NA,"或333/767/738执行 执行日期0327-1029执行",1,NA
"233","北戴河上海浦东","FM9142","73G","北戴河","上海浦东",NA,NA,NA,"或333/767/738执行 执行日期0327-1029执行",4,NA
"234","北戴河石家庄","NS3292","E90","北戴河","石家庄",NA,NA,NA,"或73G/738执行",3,NA
