hsp.hsp,mv10.mv10,mv20.mv20,vol10.vol10,vol20.vol20,rsi5.rsi5,rsi14.rsi14,macd.macd1,signal.macd1,macd.macd2,signal.macd2,dn,mavg,up,pctB,Direction
1399.14,1365.276,1343.871,37.32396376,43.45777247,62.6489573,62.03192375,4.236993865,5.969591932,3.175294142,2.854576521,1259.156206,1343.871,1428.585794,0.826206305,-2
1320.23,1366.475,1346.586,35.43282416,39.88117527,34.53065134,48.3818627,3.353737782,5.524532287,2.478627963,2.808703756,1268.843277,1346.586,1424.328723,0.330492173,1
1325.98,1368.303,1350.133,32.40592163,34.03710639,16.41334731,43.52527274,2.893640392,5.067512054,1.650937881,2.605498093,1283.782465,1350.133,1416.483535,0.317989411,-2
1294.19,1364.62,1350.0295,38.61255351,34.21224196,14.07385215,38.10322117,2.390505149,4.562802358,0.904673353,2.245230192,1283.337563,1350.0295,1416.721437,0.081362438,1
1297.67,1357.758,1347.305,44.00379625,36.14851871,7.446551029,46.45115453,1.956660693,4.04156006,-0.00683905,1.640538858,1276.838564,1347.305,1417.771436,0.147811049,1
1298.28,1349.71,1345.6625,46.99391474,37.63778657,8.163265306,48.17381738,1.51720535,3.546011859,-0.859773001,0.833525429,1272.292947,1345.6625,1419.032053,0.177096983,-2
1283.88,1341.553,1343.0805,50.87711449,40.06332428,17.56202035,45.84380235,0.908188307,3.024620678,-1.937906392,-0.049781442,1264.982703,1343.0805,1421.178297,0.120984825,1
1285.39,1329.804,1340.79,48.65892477,42.03911011,10.81289824,41.38243626,0.268911592,2.482591517,-2.982356883,-0.976440395,1258.840688,1340.79,1422.739312,0.161986181,2
1318.01,1322.593,1338.3855,43.830877,41.89030078,72.63397948,40.7897749,-0.208160342,1.924186977,-2.831754058,-1.723725877,1256.726271,1338.3855,1420.044729,0.375240679,2
1334.89,1315.766,1336.4465,34.13113183,41.06040278,78.18842775,41.7695396,-0.741957413,1.370970168,-2.595534394,-2.241464946,1256.40504,1336.4465,1416.48796,0.490276914,1
1338.22,1309.674,1337.475,20.18316416,40.82172893,79.0514984,44.69262854,-1.025290499,0.88441147,-2.200147933,-2.509539932,1257.898801,1337.475,1417.051199,0.504681048,-1
1333.53,1311.004,1338.7395,21.35996161,40.25625554,92.05488735,34.50556325,-1.465545748,0.400057454,-1.909861585,-2.503930971,1260.265611,1338.7395,1417.213389,0.466807431,-1
1331.55,1311.561,1339.932,21.86063608,39.63687366,88.78991597,36.25181916,-1.875086199,-0.07389714,-1.642450086,-2.235949611,1262.665509,1339.932,1417.198491,0.445759152,1
1339.45,1316.087,1340.3535,22.53931038,39.58189954,80.82231167,34.67551835,-1.778715528,-0.488938942,-1.081106056,-1.885820011,1263.194173,1340.3535,1417.512827,0.494145231,2
1363.41,1322.661,1340.2095,25.90643483,39.48770235,84.06593407,42.15793863,-1.538142506,-0.828422037,-0.238837926,-1.414480717,1263.233797,1340.2095,1417.185203,0.650700151,1
