date,open,cp
2010-7-23,2787.521,2793.076
2010-7-26,2798.762,2811.055
2010-7-27,2803.755,2795.724
2010-7-28,2796.483,2863.724
2010-7-29,2866.772,2877.976
2010-7-30,2871.481,2868.846
2010-8-2,2868.279,2917.275
2010-8-3,2925.254,2865.971
2010-8-4,2858.354,2876.434
2010-8-5,2874.66,2850.829
2010-8-6,2848.155,2897.659
2010-8-9,2894.1,2918.24
2010-8-10,2920.404,2832.638
2010-8-11,2823.15,2850.211
2010-8-12,2822.791,2816.386
2010-8-13,2818.41,2855.547
2010-8-16,2851.219,2922.083
2010-8-17,2927.258,2942.291
2010-8-18,2945.979,2937.362
2010-8-19,2940.767,2955.395
2010-8-20,2943.334,2898.333
2010-8-23,2895.707,2896.192
2010-8-24,2892.129,2911.827
2010-8-25,2893.986,2843.023
2010-8-26,2853.1,2850.09
2010-8-27,2847.45,2858.57
2010-8-30,2874.25,2915.01
2010-8-31,2905.15,2903.19
2010-9-1,2907.66,2884.04
2010-9-2,2917.74,2921.39
2010-9-3,2926.94,2920.21
2010-9-6,2935.89,2975.09
2010-9-7,2979.3,2983.11
2010-9-8,2970,2980.97
2010-9-9,2986.87,2926.46
2010-9-10,2928,2932.55
2010-9-13,2933.59,2962.32
2010-9-14,2971.55,2965.01
2010-9-15,2965.54,2913.19
2010-9-16,2908.32,2857.79
2010-9-17,2864.72,2861.37
2010-9-20,2865.04,2849.83
2010-9-21,2859.43,2857.48
2010-9-27,2869.93,2905.03
2010-9-28,2900.54,2880.91
2010-9-29,2877.27,2874.81
2010-9-30,2859.06,2935.57
2010-10-8,2965.65,3044.23
2010-10-11,3069.19,3132.9
2010-10-12,3121.64,3172.73
2010-10-13,3176.89,3217.58
2010-10-14,3245.13,3224.14
2010-10-15,3204.72,3327.68
2010-10-18,3345.8,3306.16
2010-10-19,3300.52,3375.67
2010-10-20,3304.22,3396.88
2010-10-21,3404.72,3374.69
2010-10-22,3365.6,3378.66
2010-10-25,3386.85,3481.08
2010-10-26,3491.47,3466.08
2010-10-27,3451.43,3403.87
2010-10-28,3390.43,3397.69
2010-10-29,3400.26,3379.98
2010-11-1,3390.41,3473
2010-11-2,3484.23,3463.13
2010-11-3,3462.74,3420.34
2010-11-4,3426.46,3480.5
2010-11-5,3538.99,3520.8
2010-11-8,3534.19,3548.57
2010-11-9,3547.44,3523.95
2010-11-10,3507.2,3499.11
2010-11-11,3490.74,3509.98
2010-11-12,3484.61,3291.83
2010-11-15,3298.74,3314.89
2010-11-16,3311.62,3169.54
2010-11-17,3124.11,3103.91
2010-11-18,3134.94,3147.96
2010-11-19,3168.17,3178.85
2010-11-22,3148.22,3171.94
2010-11-23,3156.48,3107.18
2010-11-24,3088.99,3177.04
2010-11-25,3197.97,3223.48
2010-11-26,3214.13,3194.85
2010-11-29,3183.54,3190.05
2010-11-30,3187.53,3136.99
2010-12-1,3127.26,3136.02
2010-12-2,3185.76,3155.06
2010-12-3,3161.93,3158.16
2010-12-6,3168.88,3165.57
2010-12-7,3152.73,3200.34
2010-12-8,3194.9,3171.88
2010-12-9,3156,3123.37
2010-12-10,3107.38,3161.98
2010-12-13,3176.33,3261.06
2010-12-14,3270.2,3269.47
2010-12-15,3270.78,3247.64
2010-12-16,3246.01,3230.67
2010-12-17,3229.3,3225.66
2010-12-20,3239.02,3178.66
2010-12-21,3184.7,3249.51
2010-12-22,3253.82,3215.45
2010-12-23,3210.67,3188.61
2010-12-24,3170.64,3162.96
2010-12-27,3176.11,3099.71
2010-12-28,3084.82,3044.93
2010-12-29,3049.93,3061.83
2010-12-30,3063.05,3064.1
2010-12-31,3069.05,3128.26
2011-1-4,3155.56,3189.68
2011-1-5,3170.18,3175.66
