date,op,cp
2013-02-28,2611.94,2673.33
2013-03-01,2671.84,2668.84
2013-03-04,2619.42,2545.72
2013-03-05,2547.89,2622.81
2013-03-06,2634.87,2650.2
2013-03-07,2639.78,2619.48
2013-03-08,2622.68,2606.93
2013-03-11,2600.28,2592.37
2013-03-12,2590.39,2555.62
2013-03-13,2551.73,2527.49
2013-03-14,2517.75,2534.27
2013-03-15,2533.72,2539.87
2013-03-18,2526.08,2502.49
2013-03-19,2507.4,2525.1
2013-03-20,2526.97,2610.17
2013-03-21,2611.58,2614.99
2013-03-22,2612.26,2618.31
2013-03-25,2628.41,2613.1
2013-03-26,2601.96,2575.05
2013-03-27,2575.73,2583.53
2013-03-28,2535.99,2499.3
2013-03-29,2502.78,2495.08
2013-04-01,2486.43,2493.19
2013-04-02,2495.84,2486.39
2013-04-03,2493.88,2483.55
2013-04-08,2443.24,2472.3
2013-04-09,2477.29,2489.43
2013-04-10,2487.98,2485.31
2013-04-11,2502.5,2477.88
2013-04-12,2476.32,2462.11
2013-04-15,2453.97,2436.82
2013-04-16,2419.51,2459.59
2013-04-17,2457.88,2458.47
2013-04-18,2440.71,2464.85
2013-04-19,2469.95,2533.83
2013-04-22,2525.11,2530.67
2013-04-23,2532.2,2449.47
2013-04-24,2452.78,2495.58
2013-04-25,2486.86,2467.88
2013-04-26,2477.72,2447.31
2013-05-02,2434.6,2449.64
2013-05-03,2457.54,2492.91
2013-05-06,2502.98,2525.98
2013-05-07,2519.36,2529.94
2013-05-08,2542.27,2542.8
2013-05-09,2542.37,2527.79
2013-05-10,2519.52,2540.84
2013-05-13,2542.41,2530.77
2013-05-14,2526,2493.34
2013-05-15,2493.97,2506.93
2013-05-16,2501.12,2552.71
2013-05-17,2550.45,2592.05
2013-05-20,2597.15,2609.61
2013-05-21,2607.39,2614.85
2013-05-22,2613.41,2618.03
2013-05-23,2604.93,2582.85
2013-05-24,2591.42,2597.23
2013-05-27,2593.52,2599.59
2013-05-28,2600.63,2644.36
2013-05-29,2648.93,2642.56
