,city1_2,flag,flight,flight__num,plane
3786,林芝成都,13286,CA4251/2,2,319
3787,林芝成都,13286,CA4251/6,2,319
3788,林芝成都,13286,CA4253/4,2,319
3789,林芝成都,13286,CA4431/2,2,319
3790,日喀则成都,13304,CA4421/2,2,319
3791,南京西宁,13370,MU2795,3,320
3792,西宁南京,13370,MU2795/6,2,320
3793,西宁南京,13370,MU2796,3,320
3794,南京西宁,13370,ZH9297,3,738
3795,西宁南京,13370,ZH9298,1,738
3796,呼和浩特烟台,13490,GS7467/8,4,ERJ
3797,成都哈尔滨,13494,3U8843/4,2,320
3798,成都哈尔滨,13494,3U8877/8,2,319
3799,哈尔滨成都,13494,CA4177/8,2,319
3800,哈尔滨成都,13494,CZ6255/6,2,320
3801,成都哈尔滨,13494,MU2295/6,2,737
3802,厦门连云港,13514,MU2673,1,ERJ
3803,连云港厦门,13514,MU2674,1,ERJ
3804,大连伊春,13586,MU5667/8,2,320
3805,昆明青岛,13648,8L9959,1,73G
3806,青岛昆明,13648,8L9960,1,73G
3807,昆明青岛,13648,KY8025,2,73G
3808,青岛昆明,13648,KY8026,2,73G
3809,青岛昆明,13648,MU2407/8,4,320
3810,青岛昆明,13648,MU5437,2,320
3811,昆明青岛,13648,MU5438,2,320
3812,青岛昆明,13648,SC4691/2,4,738
3813,青岛昆明,13648,SC4695,1,733
3814,昆明青岛,13648,SC4696,1,733
3815,福州哈尔滨,13658,MF8055/6,2,73G
3816,鄂尔多斯沈阳,13705,HU7321,1,738
3817,沈阳鄂尔多斯,13705,HU7322,1,738
3818,呼和浩特哈尔滨,13739,GS6485/6,4,ERJ
3819,沈阳南昌,14192,CZ6581/2,2,319
3820,昆明沈阳,14237,8L9921/2,2,73G
3821,沈阳昆明,14237,CZ6403/4,4,321
3822,沈阳昆明,14237,CZ6415/6,2,319
3823,昆明沈阳,14237,MU5729/30,2,73G
3824,深圳温州,14248,CZ3315/6,2,320
3825,温州深圳,14248,CZ3369/70,4,320
3826,深圳温州,14248,CZ3833/4,4,320
3827,温州深圳,14248,SC4731,1,CR2
3828,温州深圳,14248,SC4731/2,2,733
3829,深圳温州,14248,SC4732,1,CR2
3830,温州深圳,14248,ZH9965/6,2,738
3831,桂林沈阳,14295,CZ6361/2,2,319
3832,烟台深圳,14326,SC4845/6,2,733
3833,连云港沈阳,14394,EU2755/6,2,319
3834,湛江广州,16855,CZ3321/2,2,319
3835,湛江广州,16855,CZ3323/4,2,319
3836,湛江广州,16855,CZ3325/6,4,ERJ
3837,湛江广州,16855,CZ3327/8,4,319
3838,湛江广州,16855,CZ3329/30,2,319
3839,湛江广州,16855,CZ6931/2,2,ERJ
3840,长春延吉,16857,CZ3605/6,2,319
3841,长春延吉,16857,CZ6641/2,2,320
3842,长春延吉,16857,CZ6643/4,4,321
3843,重庆成都,16862,3U8807/8,4,ERJ
3844,西昌成都,16873,3U8533/4,2,319
3845,西昌成都,16873,3U8551/2,2,319
3846,成都西昌,16873,3U8643,1,320
3847,西昌成都,16873,3U8644,1,320
3848,西昌成都,16873,3U8671/2,4,320
3849,西昌成都,16873,3U8895,1,319
3850,成都西昌,16873,3U8896,1,319
3851,西昌成都,16873,CA4465/6,4,319
3852,西昌成都,16873,CA4467/8,2,319
3853,西昌成都,16873,CA4469/70,2,319
3854,成都西昌,16873,EU2219,1,319
3855,西昌成都,16873,EU2219/20,2,320
3856,西昌成都,16873,EU2220,1,319
3857,佳木斯哈尔滨,16894,BK2805/6,2,ma6
3858,牡丹江哈尔滨,16895,BK2807/8,2,ma6
3859,乌鲁木齐和田,16898,CA1293/4,2,738
3860,乌鲁木齐和田,16898,CZ6815/6,2,73G
3861,乌鲁木齐和田,16898,CZ6817/8,2,73G
3862,乌鲁木齐和田,16898,CZ6819/20,2,73G
3863,乌鲁木齐和田,16898,FM9217,1,738
3864,和田乌鲁木齐,16898,FM9218,1,738
3865,乌鲁木齐和田,16898,FM9223/4,2,738
3866,乌鲁木齐和田,16898,GS7553/4,2,E90
3867,乌鲁木齐和田,16898,MU2331/2,2,737
3868,西安汉中,16900,GS7521/2,2,DON
3869,西安汉中,16900,JR1511/2,2,MA6
3870,乌鲁木齐且末,16902,CZ6697/8,2,AT7
3871,乌鲁木齐库车,16907,CZ6867/8,2,AT7
3872,乌鲁木齐库车,16907,CZ6869/70,2,AT7
3873,乌鲁木齐库车,16907,GS7477/8,2,ERJ
3874,南昌赣州,16910,MU3233,1,ERJ
3875,赣州南昌,16910,MU3234,1,ERJ
3876,南昌赣州,16910,MU3237,1,ERJ
3877,赣州南昌,16910,MU3238,1,ERJ
3878,南昌赣州,16910,MU5375,1,320
3879,赣州南昌,16910,MU5376,1,320
3880,南宁桂林,16918,CZ3241/2,2,73G
3881,南宁桂林,16918,MU5883/4,2,CR2
3882,南宁桂林,16918,VD8337/8,2,E90
3883,长治大同,17000,CZ3705/6,2,319
3884,长治成都,17005,CA4179/80,2,319
3885,南京鄂尔多斯,17013,MU2751/2,6,EMB
3886,呼和浩特二连浩特,17019,GS6433/4,2,ERJ
3887,呼和浩特邯郸,17022,NS3223/4,2,ERJ
3888,呼和浩特满洲里,17027,CA1127,1,733
3889,满洲里呼和浩特,17027,CA1127/8,2,733
3890,满洲里呼和浩特,17027,CA1128,1,733
3891,呼和浩特满洲里,17027,GS6441/2,2,EMB
3892,呼和浩特满洲里,17027,GS6485/6,4,ERJ
3893,南京呼和浩特,17036,MU2731,1,320
3894,呼和浩特南京,17036,MU2732,2,320
3895,南京呼和浩特,17036,MU2767/8,2,ERJ
3896,南京呼和浩特,17036,MU2777,1,320
3897,南京呼和浩特,17036,MU2777/8,2,320
3898,呼和浩特南京,17036,MU2778,1,320
3899,天津榆林,17090,BK2879/80,2,738
3900,威海天津,17110,BK2801/2,2,738
3901,天津威海,17110,GS6579,3,ERJ
3902,威海天津,17110,GS6580,1,ERJ
3903,太原无锡,17196,MU5651/2,4,73G
3904,桂林北海,17215,CZ6935/6,2,733
3905,北海桂林,17215,G52647/8,2,CR2
3906,桂林北海,17215,MU5885,1,CR2
3907,北海桂林,17215,MU5886,1,CR2
3908,桂林北海,17215,VD8375/6,2,E90
3909,杭州北海,17226,CA1771/2,2,319
3910,广州百色,17232,VD8367,2,E90
3911,百色广州,17232,VD8368,2,E90
3912,重庆百色,17236,G52719,1,CR2
